stairs.thisTrialN	stairs.stepSize	stairs.intensity	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	corrAns	tilt	key_resp.corr	stairs.response	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
84	0.5	1	110.682895	111.1842212	111.1842212	111.1842212	111.4834587	left	-1	1	1	0.3639159	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
85	0.5	1	111.5808551	112.0660539	112.0660539	112.0660539	112.3661845	right	1	1	1	0.7690433	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
86	0.5	1	112.8675555	113.3666343	113.3666343	113.3666343	113.6656315	left	-1	1	1	0.5336726	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
87	0.5	1	113.9303866	114.4158664	114.4158664	114.4158664	114.7163184	right	1	0	0	0.6150728	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
88	0.5	1.5	115.0642489	115.5489995	115.5489995	115.5489995	115.8496368	left	-1.5	1	1	0.5169957	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
89	0.5	1.5	116.0975492	116.582354	116.582354	116.582354	116.8826401	left	-1.5	1	1	0.4450719	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
90	0.5	1.5	117.0644541	117.5489505	117.5489505	117.5489505	117.8486599	right	1.5	1	1	0.9507365	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
91	0.5	1	118.5300421	119.0320079	119.0320079	119.0320079	119.3335808	right	1	0	0	0.6789034	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
92	0.5	1.5	119.7463595	120.2317784	120.2317784	120.2317784	120.531228	left	-1.5	1	1	0.5701482	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
93	0.5	1.5	120.8461015	121.3311052	121.3311052	121.3311052	121.6317024	right	1.5	0	0	0.488468	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
94	0.5	2	121.8627993	122.3488994	122.3488994	122.3488994	122.6480773	left	-2	1	1	0.5619789	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
95	0.5	2	122.9461312	123.4310732	123.4310732	123.4310732	123.7309347	right	2	0	0	0.4737001	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
96	0.5	2.5	123.9464376	124.4308651	124.4308651	124.4308651	124.731318	right	2.5	1	1	0.4609444	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
97	0.5	2.5	124.9286464	125.4141686	125.4141686	125.4141686	125.7137998	left	-2.5	1	1	0.4952933	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
98	0.5	2.5	125.945037	126.4305464	126.4305464	126.4305464	126.7307578	left	-2.5	1	1	0.834072	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
99	0.5	2	127.2952403	127.7808689	127.7808689	127.7808689	128.080127	left	-2	1	1	0.4817635	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
									Average									
									-1.0500									
